,R2,m,b
CACNA1A,0.02134153335716016,0.4932902430403766,356.6557545521814
APOL3,0.5552589239131194,2.789373142356117,656.5377339244774
TNFSF10,0.731889664192316,33.42562355425273,4199.561044542987
L3HYPDH,0.4032666748366378,3.0228034122893517,156.60730149838128
ANKFY1,0.12513988815534172,0.8538560287808645,4444.728630381126
OAS2,0.4709189679206601,2.1790949491736646,15351.80670907896
MNDA,0.8517208690914009,11.556545178442953,684.1124257833426
TDRD7,0.11422734489791586,1.127025308896377,5169.762133293362
IL15RA,0.12580391554315107,1.0274924549966908,3480.7541192257013
CD38,0.8527443997470211,4.069645660287473,3032.657118131905
GPR141,0.6250194381426232,5.020143220810948,322.0371081277551
NT5C3A,0.44707845855521056,6.6437911821085995,1883.6213724023783
ENPP2,0.5270755989928155,6.4754783409292385,683.889600595892
EHD4,0.29324040085559,1.1665553510547264,14605.905738047022
RGL1,0.39245198468037534,1.792057868481529,7424.047275373681
C17orf67,0.044056291751616516,1.3204243908846582,1149.6460860260654
SAMD9,0.2867917013338116,5.646265082969055,1135.8710976674467
ANKIB1,0.006256186967912414,0.14113132296793607,7655.926492472977
PNPT1,0.039073400290368876,1.5732739461442347,10446.61551777038
CMPK2,0.7271586927125768,14.706394942114333,7607.133398206692
IFI16,0.07151699149294433,0.873639256240878,17985.881085219782
GBP1,0.25650461116869105,5.7553608937947835,2980.7226209844125
ISG20,0.3830849226923754,3.0746460348413844,9409.09479611327
IFIT2,0.44772628197022035,27.49232839428847,6920.400823284389
XAF1,0.5575191760372534,4.395925560353863,6852.600921003419
CNP,0.35825871501373097,3.1075549521860872,1266.2323090961172
IFI44,0.7616873650429494,4.308932539138555,3100.3814381386637
N4BP1,0.5904217450151367,1.2721355939891172,5048.131060565756
OAS1,0.9067616149414036,3.4258384856998916,6016.091864063435
PI4K2B,0.19772883873792613,2.324136571572418,4761.558073342315
SIDT1,0.6820099536149267,1.3130407106905988,6681.469941349448
IFIT1,0.5821144664152327,20.774122356031437,11819.020834947898
FIG4,0.4633913571271906,6.412858194324219,-774.5734860416915
SAMHD1,0.47049807398574084,9.076165598597438,-632.3240865819553
TCEANC2,0.05892453343940207,0.6092430691430224,1912.5727445578204
PRKAG2,0.5809083213542403,2.180803717851671,1399.2480781860465
RSAD2,0.8925534537748412,38.818335730733864,1548.7007042963232
WARS1,0.3440302668567822,4.823241975152155,10958.787159739051
OAS3,0.7771120112956326,9.407194568233278,7712.60095766972
BLZF1,0.3045439983021533,2.3200102172287957,730.6148663546869
ENDOD1,0.6556079416440732,2.6801416373549722,1426.2716361351725
STAP1,0.615196195919313,8.273633152563349,317.80723209322514
DCBLD1,0.7451936487357214,1.1621350738195997,1008.0185621481103
STAT2,0.34978089222100217,4.0660249688147365,4704.729861267714
SPTLC2,0.8703257181516942,2.631676209192823,-1090.5929935994727
HYCC1,0.5580871435285679,3.51192068412727,1200.6220313677422
IGFBP4,0.16185237156561116,17.001314102791838,611.2898749723068
PML,0.13866988625448962,2.539207407269961,8793.953630208189
RAB29,0.8790523325505851,3.0656658324539587,213.10707211766714
LOC100419583,0.5386477187133909,0.9946811463602608,822.2551497075541
NMI,0.3992156865344523,1.7588021402376453,1690.8592762842059
IRF1-AS1,0.18654199102102687,1.4316533303178833,8908.571627065998
TAP1,0.21756909193217655,1.69546205307987,6000.796126290999
RNF24,0.1659068777250915,3.5719465026718575,1324.3263617865762
TRIM21,0.15213946966118586,1.5687562183813926,1704.1634864554808
CHST12,0.49590504341402,3.042854801984311,1557.0310945564634
HAPLN3,0.18672320794473296,7.890040231023027,2291.1812711768184
DBF4B,0.09682444112767674,1.106987594370376,2620.2771834605082
IL1RN,0.5885240681011081,26.239109197201977,89.70782556430115
UBE2L6,0.6346956157081214,3.8816896538801196,2127.303914152337
