,ChenChao_RNA,Dave_RNA,Eric_RNA,Ethan_RNA,Khaondo_RNA,Niyilolawa_RNA,Pedro_RNA,Srivathani_RNA
HELB,1.72579618662813e-83,2.48094392614164e-64,5.70021997013588e-73,2.05364399501941e-96,2.21780790356907e-90,4.8729852659483e-69,3.1990947099295e-70,9.49636529539652e-63
HELZ2,1.0800604674419699e-82,5.58800946038655e-74,3.93230185003089e-87,9.581736542628119e-92,6.280507998299719e-79,3.82111582714529e-71,1.25197031165795e-82,5.0256840271194795e-62
LPIN2,1.0483605284455e-81,2.89425924320189e-53,2.7940809910891002e-64,1.3655435949566898e-138,5.00244190959767e-109,2.8627261573972e-112,3.10203687835739e-83,5.43475713798012e-72
TRIM5,1.7448760392506599e-81,9.818961852395289e-62,4.19162767581118e-87,3.21231488233851e-109,3.1765994297624e-85,2.7146213925443697e-77,2.0434307670215902e-65,1.2556473341327001e-62
GTPBP1,1.8901777783780599e-81,3.3531058479088004e-62,1.5149760722877699e-56,9.16020754838447e-72,1.7601951579086998e-93,4.67035985155479e-75,4.50270235259346e-69,1.7725302305499502e-67
STAT1,7.65254648440318e-81,2.47895210483238e-47,3.39983767905295e-139,1.12508809923587e-111,2.03455594605667e-63,3.2774695664082696e-79,1.35215813095278e-98,5.00776894342053e-72
GBP4,1.37234941961504e-80,5.9272433833507695e-80,6.7261091600603e-117,1.6939002552724601e-171,6.94843219749215e-106,1.11937995559456e-71,6.70448924951457e-128,3.3517847404621696e-36
FHL3,1.89872948755028e-80,4.24792060691748e-95,2.7642527377699897e-92,1.98478104948087e-125,2.86100547824503e-63,2.5384120647670303e-88,3.99950219450353e-61,1.3005517974503902e-67
TRAFD1,3.77690963866759e-80,5.989655513193961e-45,3.99521515635181e-63,5.58990671545225e-91,1.56352934685155e-85,1.59525566595032e-72,3.74581966022052e-81,9.9588762789619e-58
GMPR,3.64908430332058e-78,1.78765479162565e-74,2.77274317979865e-37,9.10170414714801e-51,1.10521391804666e-105,1.59982745531609e-90,1.63975191215467e-71,1.20082887872691e-71
CASP10,6.402187076330499e-78,5.301943051424e-57,1.28038276666705e-88,2.91092097495725e-76,9.9491642336432e-66,2.77260489716277e-86,4.10325393295715e-100,1.21814679868076e-59
CACNA1A,9.15957892296779e-78,5.5239356859123e-21,1.6424943163557501e-47,1.06118282655878e-90,3.4936270292466e-139,9.221822947364939e-94,1.8403840055809e-75,1.90503652829749e-66
APOL3,1.7136548877835198e-77,1.76024836419716e-45,4.03456973288055e-25,1.15045877862218e-27,2.8910348638319696e-92,1.2878327213709501e-52,4.77064059741035e-50,6.80998528485559e-45
TNFSF10,2.84745665938522e-77,9.97821152587966e-71,2.03100709550298e-62,1.59144816901397e-86,9.0627456534427e-67,2.04900775803754e-65,4.81942240722377e-83,1.42886145006745e-59
L3HYPDH,4.65908716991855e-77,1.70499023345569e-110,2.32382027234359e-63,4.35111768913595e-111,1.19239718408266e-110,9.928927571205511e-84,6.11297902055763e-75,6.39058609444425e-68
ANKFY1,1.57306585815222e-76,2.45034666362866e-57,4.90597626700649e-45,1.55002423053781e-69,1.70241740387024e-94,3.44996723406332e-66,1.22682403235173e-54,2.15280906935367e-53
OAS2,2.45752099167793e-76,2.37082699721285e-97,5.66776810274418e-189,1.01964048020345e-146,1.61527020398052e-53,3.41730238925012e-86,2.0231491432490003e-93,3.5619259539688798e-71
MNDA,3.06000428813891e-76,3.40754700971442e-72,5.06531252549219e-91,3.86185573312494e-108,3.87140612771433e-52,2.55190939761605e-81,2.84448440634531e-67,1.0726567635784698e-56
TDRD7,3.05500115158049e-75,1.2086817526788201e-60,1.31970689814774e-84,1.41093862023993e-93,9.06406730158186e-98,1.2789095601925599e-79,5.54352437516613e-90,1.3167499677071201e-65
IL15RA,1.99282210649869e-74,8.628490276076631e-31,5.848627662974021e-85,1.77292618825849e-88,1.24157993349778e-102,8.05747719126945e-68,2.0524733527801798e-69,1.8149661307321e-39
CD38,4.57878502391723e-74,2.31523423344429e-50,4.42643148717486e-159,2.62079139290019e-153,2.84809171534527e-86,4.44527753307761e-61,2.9060680354512e-109,1.7936206382596102e-54
GPR141,5.13909384258197e-74,4.96115861256142e-29,3.63406980450732e-23,4.89831600023977e-21,6.50199953577286e-76,1.1422274591836899e-43,3.78110863080802e-58,1.36657555556254e-58
NT5C3A,4.72518212538107e-73,2.4333783898955e-45,2.64687005478442e-70,3.38519250968987e-69,3.39820133402736e-58,4.44527753307761e-61,3.04640515067911e-54,1.1911440686536e-51
ENPP2,3.5151090920014297e-72,3.58736177451591e-30,3.6244428291213e-101,7.00687759222209e-93,1.41759507001202e-71,5.5847718915587694e-77,1.9982042374967598e-49,3.2635870594757996e-58
EHD4,3.43426042226435e-71,9.39079266445503e-37,5.36454202628369e-45,2.47704321776115e-66,4.80009633094823e-83,4.04731960449907e-71,7.053298653351669e-78,4.30967702124556e-62
RGL1,5.5650457183430296e-70,1.46602305118197e-42,5.33596844101169e-65,6.049691595302441e-73,2.4912648942623e-28,7.112724786911391e-67,3.13223017274951e-57,3.10142471058987e-46
C17orf67,1.02563051247525e-69,4.77474888480938e-126,1.12831256502139e-147,9.780965149632879e-230,9.31083404323907e-145,4.39684969002888e-113,2.5482854958673404e-44,9.97299347507432e-81
SAMD9,1.17402792823627e-69,1.00566435439557e-49,4.76735470936879e-76,1.01661600595174e-72,1.01687705152813e-67,1.00730129582034e-57,1.12116707082094e-64,2.7690131395109597e-57
ANKIB1,1.17420971485089e-69,2.44978775117135e-33,1.4744705380526598e-40,1.2282346591767801e-52,4.33362846561587e-65,1.07871175523683e-59,7.54437695537934e-59,1.94051460027885e-37
PNPT1,1.31370308794234e-69,3.6248844104575904e-67,7.51486358304589e-62,6.70550253310441e-58,1.84126192175919e-69,5.756425222996741e-65,1.3535513786539e-70,1.3048473145068799e-56
