,ChenChao_RNA,Dave_RNA,Eric_RNA,Ethan_RNA,Khaondo_RNA,Niyilolawa_RNA,Pedro_RNA,Srivathani_RNA
LINC00539,0.0125422719259206,0.870564548880686,0.0422227435072463,6.24217030057886e-06,0.104038341777233,0.0013704526355596,0.0014224345649745,0.0038092376342641
FCRL5,0.0127055295886081,0.0191993505322436,2.14896572198925e-08,9.11409148807915e-08,0.048892074495951,0.0591734438854874,0.0069965872342906,0.169696369901241
CYFIP2,0.0127828675836717,0.2572013732841,0.192265912078158,0.0801431401878339,0.0029464385461322,0.353124426203165,0.0009672550317967,0.044549492518196
TNIP1,0.0127890559132987,0.0194216854662555,0.0039086110067581,0.051955654314905,0.0087113707861399,0.0047191197126992,0.0010970884343464,0.0094991919413652
MAPK8IP3,0.0128502384217733,0.261606960249067,0.0102807586556387,0.0948407587768974,0.110809992002935,0.0069096003427758,0.172415469024252,0.0779273523213863
FKBP5,0.0128649048786371,0.676907705311474,0.35059991335182,0.610512047704375,0.0014306085838891,0.0053202058005887,0.0669646698361898,0.0608073523755465
KCNQ1,0.0128649818599478,0.0137574687539711,0.222798606265141,0.0435440862079053,0.64732879381883,0.000615553268744,0.0133245039156259,7.19867012836434e-05
VEGFB,0.0128668827535251,0.357745878854052,0.182296298896924,0.647857976669928,0.523801085853672,0.120382609751974,0.164876130262885,0.0062066040900912
EVI5L,0.0128750206109105,0.14150117625852,2.40483299229016e-06,4.09067921544022e-06,0.334851074796325,2.6946720392911e-06,0.176535700110128,0.0219036756852446
RAB40C,0.0129737487516782,0.0173954821281823,0.0173825719791094,0.0036536022414217,0.0518144568332618,0.0051768108755184,0.0674127841030919,0.0009922765235399
MAPK14,0.0129885905513696,0.0030078383121748,0.0356561796915316,0.0075936223612033,0.0016526010228417,0.0049265744765672,0.0534399280245989,0.0535289259923121
FAM90A1,0.0129995968077461,4.40617308497829e-06,0.0020783812405342,6.78279124717164e-05,0.152246193916831,0.0108262277637463,0.0929355461722139,0.253130100625759
CRTC2,0.0130557399366906,0.106161109172493,0.0026995205718134,0.0001124714485439,0.332261149973928,0.0100526341577642,0.0013016169880602,0.0144671248623509
FAUP4,0.0130557399366906,0.0054451113269972,0.0155346283890676,1.68238350994292e-09,0.0081722932561007,2.65995332595214e-05,0.146072985472322,0.139417463548602
PRR7,0.0130650074868833,0.113036737470084,0.0001669026805148,0.0001518538500023,0.331168269136639,0.0096718692125815,0.483867805191638,0.0198241735999931
TNFRSF13B,0.0130812875437405,6.99651688227101e-06,9.15152840668088e-05,1.61294765819562e-05,0.0610330922244116,1.66081327892165e-05,4.35606398235031e-05,0.0011380957660372
GJB2,0.0131121967311168,0.0001027851989618,0.029645098929599,0.770129937128909,0.096701015831825,0.0210102962701142,0.0542064386112658,0.471228941669124
TRAF3,0.0131458264698288,0.0006812485756407,0.0287446065750032,0.0064682170206844,1.4953319078714e-07,0.0043333801817418,0.000583213547718,0.003959985723499
GNL1,0.0131533877944208,0.0089453792664597,0.026525002009713,0.0315208165524598,0.014245799387656,0.0016147411371847,0.004670495611813,0.0084916104905238
NIPA1,0.0131648543527021,2.1096647854258202e-09,0.0314546852268078,1.42331148639367e-05,0.0233140068542926,4.42172035434586e-06,0.0002400717606598,0.079627541148262
PNOC,0.0131674131329979,0.11090758552666,0.033434367495934,0.0273157603991659,0.57960729043011,0.042052783984762,0.0275976983739054,0.234445764763368
ARK2N,0.013265792015303,0.444248797298165,0.0126778080091634,0.0947115396576202,0.0051486320119447,0.0022398743431599,0.0032012990701118,0.0078919781522892
STPG1,0.013265792015303,0.348099941024301,0.437102486187589,0.0784701828163776,0.141164067013079,1.45113495792387e-05,0.0155593746645276,0.111077720446894
SNHG14,0.0132721595276879,0.0091525635066314,0.240317879995452,0.453194386243021,0.0241935923668029,0.239422747549171,0.0516504453437748,0.0545816948823369
GOLGA2,0.0132777119890611,0.650186089385447,0.616263906474203,0.164003050420998,0.171952933295171,0.0340900421115694,0.0274465570132667,0.0222758491476829
WIZ,0.0132867883705512,0.138345269646165,0.0372029129916398,0.177748211955321,0.198076883104578,0.0533731427679256,0.0958373963339778,0.0018852540232052
TMEM104,0.0133368081289788,0.0014105138166448,0.000331845099076,2.49510153206581e-05,0.165191352530492,0.0094192124412761,0.0002161860782892,0.0035795614603229
FBXL20,0.0133821186499351,0.104161255328259,0.0027801769072997,3.35990437957562e-05,0.000903423983097,0.001004806679835,0.0055476335109497,0.0434000121126911
GASAL1,0.0133975847242441,0.538140977164865,0.0011717118140478,0.0036599754099149,0.0017841965542779,0.0051921310012493,0.0002488429772318,0.0041816959931058
OSER1-DT,0.0133984967954558,0.131242940214132,0.374584483689293,0.0080171565992784,0.0029517118353878,0.830080659540161,0.0487402347472207,0.253080250690254
DCAF16,0.0134548916080669,0.0014827568055472,0.267835013978958,5.47771551288084e-05,7.70330172566154e-05,0.0174294828970163,0.105995777152032,0.0015688884359056
PHOSPHO2-KLHL23,0.0134651403937487,3.48949381703756e-05,0.0287058715746482,0.0002432331839593,5.17827260675414e-06,5.45125561940291e-05,0.0117381862802878,0.0045130318821108
LOC124900487,0.013480507711106,0.0072674500127008,0.431890532870509,0.043652531837572,0.0788190152502475,0.0459808474456752,0.14757050469335,0.179191710087734
LOC122319436,0.0135654100897493,0.0003056085492817,0.0354781813245765,0.888811573558423,0.0008499173262001,0.000622112682577,0.0053145229249064,4.76272978414528e-05
LOC101929004,0.0136242294618833,0.900906251278756,0.163807657522932,0.0017396827668196,0.265540886639171,0.0001003960867543,0.186605624139308,0.841438713023961
KCTD20,0.0137140862046699,0.0037343594837483,0.161526451560423,0.0026638144796948,0.0001114969927589,8.31353357830978e-05,0.0055578518714266,0.0079240885458739
BROX,0.0137435156011546,0.0032194738833547,0.0117962459695051,0.0003202988079765,3.26476967131067e-05,0.004962014504929,0.0093828630076351,0.0109015305324263
SOCS7,0.0138338044965299,0.0087313216971576,0.0399446657802914,0.0223337261134267,0.0001265676588187,0.016172008303064,0.0019863513037864,0.0078678811142933
TXLNG,0.013840194718197,0.0012227097611883,0.0174673228538534,2.73681434706798e-08,9.15472040803968e-10,1.07385785805813e-05,4.70643884753907e-05,3.03525839661875e-06
MUC17,0.0139097470706126,0.162114895885678,0.0229438702523396,0.0028658088336285,0.0049815619223772,0.0074748034865188,0.0237815465318611,0.0003689432642861
ADGRF3,0.0139155896042504,0.0058221064148967,0.0611834233397827,0.011382473632015,0.0027668883222281,0.0009949781517228,0.0233668454448672,0.0813941051534906
AMOT,0.0139504230925799,0.906030603838641,1.31569584139634e-07,6.25892858298474e-11,0.116110481874324,9.16870308943634e-10,2.74113698761631e-08,0.340877288155988
BET1L,0.0139993124978058,2.14818923755507e-05,0.0094105319655291,0.0012398070339028,0.0361483261899052,0.0017339041506021,0.0006469939472632,0.0030215822669404
SDHAP2,0.0140120290521888,0.0105071762652741,0.442366544806898,0.130689984096692,0.63500802839622,0.0480826635843494,0.618901435374714,0.093588064791753
BMP3,0.0140675668075634,0.604624796551058,0.638009141524785,0.112325664821213,2.22416098418781e-07,0.0073815749128225,0.0120089722785883,0.323359106699282
TNKS1BP1,0.0140690491562483,0.005689976324482,0.25375640716497,0.0965713110898985,0.0048662939853484,0.198295451139275,0.0570703462882087,0.0637002963027263
RAD54L,0.0140901119072266,0.85081141526473,0.247497602293438,0.001157966870275,0.152264049584594,0.0220090700363319,0.0037927156929981,0.031653395411123
SLC25A19,0.0141287488599951,0.0017024622836533,0.213973034542266,0.0099342960409043,0.0304121721749187,0.0136526979307817,0.885764416808156,0.0052193999490267
UGT3A2,0.0141935805350235,,,0.0043091543216215,0.0882153478585198,0.0425119126796448,,
SLC37A1,0.0142912436003859,0.37119912510809,1.54730542093646e-09,6.34020044417226e-22,2.00768730504476e-05,0.0036739826526788,3.12486719562982e-07,0.151358128826886
RAB4A-AS1,0.0143263110783962,0.375744743839892,0.169716025179416,0.0030300297548995,0.0001072878731277,0.0135814160558475,0.234020658525357,0.177678583155156
SUPV3L1,0.0143321489292925,0.145398990686745,0.787787272456068,0.0095761373889894,0.0502037310944625,0.0056995551325288,0.0359955673694794,0.0012110815238563
KDM6B,0.0143503673842979,0.342677155638694,0.228309492598086,0.135281326487417,0.0225302718646007,0.0340053940750763,0.206896395640055,0.0476914321352914
ECPAS,0.0144002421173476,0.761657550585732,0.030549949855341,0.221032006605594,4.39574505811277e-05,0.0196603347242694,0.0198543941071011,0.0588732858342223
LOC124902065,0.014422175986033,0.0024845608978902,0.0001465641856112,0.0057653191333676,0.0003906266931777,6.89818560629309e-07,0.0001554104325676,0.221693635642417
MSL2,0.0144506516482449,0.17647230254402,0.775071771563764,0.884600807619736,0.0051722656736838,0.309899550352293,0.768393920481963,0.0912676150517383
SMARCA5,0.0144506516482449,0.0001276427126437,0.0049412557900516,0.0003887906890384,0.0307753430872761,0.0132273498412341,0.239510300107397,0.068497436899553
DPH7,0.0144506516482449,0.0053246107120764,0.0047032176030103,0.0003093281236939,0.0104473648358488,0.0105378432662671,0.0335230454674444,0.0367883171004492
LINC00607,0.0144506516482449,8.67419195910365e-05,0.640534193724098,6.18842124142848e-06,0.777990410649689,0.884064571427328,0.11296568660442,0.303375485018784
RRP1,0.0144666430530046,0.0038521808231588,0.0139362902144971,0.0010164396375002,0.0006848039838101,0.0035903010046299,0.0094205660624061,0.0017987692528702
ARHGEF11,0.0144666430530046,7.9749882915084e-05,0.0004231004753717,5.762858856661469e-12,1.54453922671359e-06,4.34059329087366e-08,0.0353108782784056,0.0511919619680002
MGA,0.0144666430530046,0.026818915949373,0.0590220130330035,0.0237130205601583,0.0002557184058538,0.0299924894956627,0.0003152999084325,0.0248223159781535
HPDL,0.0144666474472113,0.0708794285353937,0.0005391563504298,0.0002643572952542,0.0019784095543851,0.0977407182255933,0.198633892454845,0.0012046964178567
MKRN2,0.0146297005673022,0.0850358833927013,0.056474063424053,0.0029651825210124,0.303905524234538,0.0070729770962486,0.155008255212832,0.0672051284850096
LINC02812,0.0146581498595541,0.418105501435289,6.609153289509291e-09,5.023040566961579e-18,3.63798574440503e-13,4.30304349718779e-06,0.0020131639254373,8.81288415214954e-06
MYBBP1A,0.0147293094747441,0.0422769964195165,0.0130787166583546,0.0223747744281387,0.0059878621880333,0.0701907394042751,0.0056329380551531,0.0090349735927983
C9orf78,0.0147534021087564,0.161289907017953,0.139205701117418,0.0286490910770933,0.0029586458821761,0.201868688237836,0.153496136605497,0.0960990352508039
SLC66A1,0.0147704776969323,0.046219608832076,3.12251012204159e-07,1.48244556479121e-08,0.0021501366492221,0.0002515998269909,0.0001437294684049,0.0075340691363516
ABCC1,0.0148065542150327,2.71604594473823e-05,0.0011143114283854,0.0400997215731869,3.67139242532681e-05,0.0007703961255522,2.13361560866098e-06,3.1245239060938e-05
RBPMS,0.0148375877384202,0.0017748695919302,0.971969281101777,0.929636924434228,0.156627171757935,0.924126713865259,0.805756664711153,0.0248199007835067
ARAP1,0.0148624037210382,0.0615580617155316,0.0154820231909219,0.0319125833170906,0.877626676921083,0.0649696218031397,0.0096253265071104,0.0062109297536176
ZFP36L2,0.0148632819661061,1.07977479679687e-09,2.20910177130688e-06,6.96304385547299e-16,0.101999168759291,1.39029144363624e-16,8.541145149434241e-09,1.688758996604e-07
LOC124904180,0.0148720119814365,0.667036316478109,0.123921853674362,0.0445125275918081,0.619272301880054,0.0061492470225663,0.795992900917748,0.403990873652145
LOC105373851,0.0148720119814365,2.5038474339502e-06,2.80063815797742e-07,2.06689542539597e-08,0.322829026171373,4.40663528940266e-07,6.97072375231395e-05,0.0008635266887066
ZNF436,0.0148836401777336,0.0055845420587649,0.0363956675203704,0.002723070568432,0.169890320732845,0.0068328873276789,0.0195298989129045,0.0436691441268861
ZNF319,0.014919351316771,0.0211100764236337,0.0001896751742479,0.0059931315770701,0.0980414260897761,0.0123409256931163,0.0020119750975818,0.125852149064299
NLRP1,0.0150240226354962,0.0892961943339762,0.2358182798076,0.429268283162461,9.84854851997869e-05,5.31006392438683e-06,0.0002511204160507,0.511152821631403
LOC124900412,0.0151075751686317,0.44672035234368,0.194121333406069,0.0549565901205973,0.525518753905369,0.15217864391772,0.285525473969733,0.236152254992792
TMEM276-ZFTRAF1,0.0151986805259498,0.0173345479608257,0.0091001458546775,0.0399820488455725,0.16862261313466,0.0368721967489362,0.0441503284576532,0.0069653905014359
MCAT,0.0152511287044878,0.188540824337839,0.0261727555622025,0.0108262703831331,0.0008859290192485,0.0040180524575415,0.0251852967581527,0.0031787405536877
KBTBD7,0.0152590700690421,0.0001667184024145,0.189294605184767,0.0560853908168677,0.0336623887634952,0.0053241398732855,0.0079934522820974,0.0179800017582116
GIPR,0.0152733750776297,0.37773027890842,0.0158121103579277,0.0033883762774175,0.0385222466371141,0.0061640890799657,0.0119247365997334,0.0187205073792318
PCBP1-AS1,0.0152733750776297,0.166205695906099,0.119652430569583,0.259173737773002,0.599604400037556,0.0005709893385036,0.0778132630168537,0.101302317086257
SYNM,0.0152811091256355,0.0076735869770712,0.644788163622907,0.441757074036144,0.0041804834706876,0.0496071254350291,0.008082504081741,0.0114851639612503
TCL1A,0.0153209019776067,0.000169490714173,0.0071791620075196,0.189394967690995,0.484346439158551,0.0565215479229673,0.189616542073139,0.359066277600965
PRR3,0.0153278349829699,0.16508946900656,0.0289876654049818,0.0764303284756688,0.0092507650567807,0.109549566545974,0.0097254920921877,0.0242155192935797
BICRAL,0.0153402692383052,0.0719235841555409,0.279932995455862,0.0026623480789463,0.0004862100140437,0.0064885143680245,0.0031618822876767,0.0289383371019223
FAS-AS1,0.0154077108227182,,,0.0015344702403644,0.0187386833622545,0.0011050671507657,,
LRRFIP2,0.0154166562581802,0.0115802390880777,0.134893832186312,0.0002868904030959,0.0206041447723289,0.0008579668555617,0.58177348568165,0.0076045561414773
SLC7A1,0.0154498098734886,0.0047571508181442,0.0484862515734569,0.1169933459794,2.19770723647391e-05,0.0204260637392523,0.0054054752938007,0.0136339665061574
B4GALT5,0.0154758523101901,0.443272730019344,0.0018253498753349,9.43802609677479e-05,0.123878877827457,0.0002509019223778,0.0127618562756418,0.012648313942314
C4orf3,0.0154982350904838,0.981007520159247,0.219300732840105,0.374963774717934,0.071454462482734,0.164578242096255,0.0921439546262961,0.0518181790170403
KYAT1-SPOUT1,0.0155165776532108,0.045215600780071,0.0133330124005979,0.0020263122807168,0.0008749118012965,0.0126580449270513,0.0572875539933224,0.0274040472112341
P2RX5,0.0155308874753897,0.67001298374408,0.0156260563774596,0.002810278411634,1.17246989531333e-06,0.0017492202781923,0.0014835069858958,0.0013802013752109
ZNF878,0.0155376723728255,0.227144565057494,0.99519300112418,0.963115011869809,5.51580478776987e-05,0.0420487597570339,0.0014797142778896,0.221989393405116
MRPS2,0.0155402286745805,0.179285509974688,0.0374087050308086,0.121093786966087,0.153879418136939,0.133562790832556,0.0045547846354112,0.133546358814527
BORCS6,0.0155548493113254,0.0051017832992384,1.35720775225577e-05,6.95831245321241e-05,0.0151298559368405,0.0002003877027112,0.0004103425779037,0.0244794478933788
BRIP1,0.0156380151525074,1.65964899664895e-08,0.0504482312673517,0.0215412946721323,0.0281734136938799,0.0343244473777664,0.105178637560385,0.013810807119564
LCMT1,0.0156711639273715,0.48090869131451,0.0054157437278105,2.67052691288374e-06,8.72511043852183e-05,0.0086031964345124,0.0666188294787434,0.16276050518728
HMOX2,0.0156711639273715,0.0813909086839851,0.135060886075359,0.0228430328220052,0.0044980922414686,0.242207597797187,0.0038467476615398,0.0213795467941472
MRPL34,0.0156711639273715,0.068536938388599,0.0021639197482637,0.0056293857715514,0.0079832441658262,0.167408269332233,0.0048453575428599,0.0389629458854894
HEY1,0.0156711639273715,0.000928989726109,0.757455048288087,0.30555328238055,0.176437297246937,0.574321748495673,0.123358051481464,0.034201653923318
DRAM1,0.0157508007975487,0.31315122317007,0.0019092551558558,0.080119495261809,0.0328768477433412,0.008611178630193,0.0021492179306121,0.223449219050378
CHPF2,0.0157962986174417,0.0072178605879975,0.0001978010258708,5.85824922612138e-05,0.0778667798730616,0.0030470356986552,0.0057972644627582,0.0151201017021479
MINAR1,0.0157962986174417,0.015721078663136,0.0235192410442868,0.247321288098317,0.0230432370773541,0.56540477524017,0.0023660461460674,0.0739315493592171
NEK1,0.0158100140891429,0.0616942728341214,0.0013244169809628,0.0117996724257103,0.224676244329355,0.130125769348493,0.0008557563755356,0.0357638797173278
PPP2R3C,0.0158212162838456,0.486037593509576,0.0438394915091016,0.159325197358457,0.317744952228723,0.0669999910661414,0.0729244804801351,0.0124548198315379
C11orf80,0.0158284348623725,0.0021051398404033,0.24926403139208,0.431068041015539,4.59759052061621e-06,0.190912743289158,0.181858056403319,0.01501388810763
PNRC1,0.0159070426760922,3.35374614277718e-05,0.0038788043314298,2.93714689392979e-06,0.0271648328987058,0.0002600360751004,0.0028918668476431,0.093588064791753
GIT2,0.0159070426760922,0.0121849454905802,0.0137858574641017,5.44188494226416e-06,0.0055722697340444,0.0003394910522185,5.88940469568976e-06,0.0025880676026036
LOC105371763,0.0159274185211797,0.0744353552571336,0.0145977397427763,3.20753922025449e-06,0.0001337046440441,0.0154707298174196,7.88739436144355e-05,0.0854284051253976
C1orf109,0.0159682082467784,0.0401827876176193,0.274986035132501,0.032100477061694,0.0016390552069493,0.0163141012950467,0.100513325160615,0.0051115957836605
NDUFV3,0.0159682082467784,0.0053573685874863,0.0042675290776829,0.0041160444450312,0.0005700809838373,0.0002114944172294,0.0214111774835261,0.0504278603389686
ADAMTS12,0.0161220114224219,5.9916253927484e-05,0.0971978056953134,0.146034202158017,0.0012059037248882,0.0557119004380109,0.0771170605292862,0.716982107517748
LINC02987,0.0161220114224219,0.0002806004483937,0.353870882218902,0.0337946231814323,4.00255509198119e-05,0.0007083690172356,0.0166809125064724,0.0898626027387753
LOC112267988,0.0161343970189944,0.300583313314233,0.0012426175522614,1.178528441842e-05,6.64926821885014e-06,0.117553195424609,0.0931785053136575,0.112817001296499
BTG3-AS1,0.0161359409342577,2.31593039505584e-05,0.0870607672091658,4.31587650533406e-07,0.0263789834052654,0.0186100047158702,0.0005044418371883,0.0170076658414145
ZNF544,0.0161524074897433,0.0001045481159148,0.0015347158899727,0.0006066984849876,0.0002390202534962,0.0088464454602544,0.0125556558116722,0.0026960278816632
LOC105373977,0.0161525060225662,,,0.276026453977558,0.0003832769644112,0.0972234768280099,,
ITGAL,0.0162234884902171,0.413012478964823,0.0168310183811496,0.0114339602240922,0.13160749457555,0.926396256679802,0.0001360058336526,0.149312145558898
MIR762HG,0.0164231897075366,0.0194463561164549,0.55064940473512,0.166134113414839,0.0143929840316007,0.0323015376477052,0.0070063152270357,0.0346530921127765
RFC1,0.0164304975906219,0.56928559574656,0.551579100304387,0.731011918924885,0.220819637880289,0.0297168294231439,0.30531729551971,0.212332434498905
SGCB,0.0164592422342524,0.130575836053009,0.0714811618621863,0.0018888804325754,0.0399958758458804,0.182239913651362,0.0399882786723062,0.389302047881542
PKP2,0.0164618599378438,0.735614837146067,0.294689776527907,0.0591391565444198,0.0035864887269308,1.84315265163402e-10,1.80405049058633e-19,0.0011786898474846
SIRPA,0.0164669062910942,0.247553385022677,0.0101166651151926,0.0005404550847651,2.87671900655666e-05,0.0001343017371199,0.0001661716414686,0.0963646497554912
CACNA1I,0.0165110876080064,1.15838805386689e-13,0.0032629117680824,1.01475321584873e-08,3.54488093464706e-08,0.0001317725154479,3.56325051669127e-06,0.0153920739607023
LINGO3,0.0165110876080064,0.603150353023271,0.0325499508379662,0.187728801586933,0.004269524607157,0.404253284961565,0.0496826941240972,0.120707065623517
RINT1,0.016531490837729,0.0009924882892969,0.0323478544574407,0.183191982401615,0.0001059522711055,0.0724771688915414,0.0427899426026256,0.0302763749187618
OXTR,0.0165633104429323,0.0069081671734461,0.493177423864176,0.0174554422969483,0.000207203622588,0.0002938379414063,0.0040739972699282,0.0569817962543874
KRTCAP3,0.0165784176022536,0.236170395364222,0.0071523305880277,0.0001495766773011,0.0074618532405299,0.0591734438854874,0.243416325726839,0.0365893872654025
ABCA6,0.0166720517627145,0.0009628775930442,0.923140023281778,0.714041363149394,1.18262464122142e-07,0.0025518836897034,0.111973368541344,0.0005678602501067
ANKRD36BP2,0.0166978097387026,0.176943631634147,0.980601981974062,0.895035710952348,0.0063746845822482,0.897598142452446,0.570174440904594,0.0191827478688102
MPZL3,0.0167084323844791,0.224295156271827,0.409367394220885,0.003353504850451,1.25090752937949e-06,0.0046892255888421,0.0415125113814735,0.0343707301501889
NANOS1,0.0167129161179511,0.99545052097314,0.0049074994121262,0.142540055992939,0.0002046416765039,0.306453282654068,0.0760422860573779,0.506606024841574
LOC105377320,0.0167497414598313,0.640626208010347,0.527749790631884,0.0880456055331012,0.961557205767355,0.0064885143680245,0.804202084679425,0.141266138134514
ATAD5,0.0167511946441605,0.578369731598246,0.276723254858404,0.757433762279764,0.551124915006979,0.629978039537237,0.427398307361204,0.176648847622234
TMEM115,0.0167511946441605,0.0268189323588003,0.109219182692278,0.0047315389551687,0.477737799652753,0.0469294564547188,0.0109428312224494,0.198655141383425
MSRB1,0.0167793259003753,0.0001278969939476,1.90619505553383e-05,5.89313372347922e-15,1.66738403968522e-10,0.000920647804359,0.0001350285476306,0.0108202830852418
CSPG4,0.0168171129694909,0.0049315120580747,0.361070158604743,0.37585470580963,0.32302662051134,0.0329372780900768,0.0685172626292333,0.0595015695555982
EPHB1,0.0168745839751506,0.182660760346116,0.0002232862997303,1.22272072237104e-08,4.06019456987722e-08,0.0002227526059192,0.209060008206896,0.0034591101301155
DEK,0.0168745839751506,0.645401995749092,0.0388868029626932,0.337250172788563,0.122647674586119,0.0885267251126057,0.247664843328273,0.0685423848084754
TRAF4,0.0169305765006734,0.0176803622160087,0.294545531987811,0.034205330631531,0.0009981582182289,0.0085985663778381,0.0779084725985325,0.0171815695644894
DOCK11,0.0169305765006734,0.090912888731358,0.785289829065924,0.200417385308483,0.0039280211433709,0.952696622592986,0.046703388242426,0.208996589532203
WDR43,0.0169320670406166,0.0450820658234602,0.0314818275001784,0.0005595457467978,0.0004983589917594,0.021897315737394,0.0060780992435656,0.0019338271124386
UPF3A,0.0169401345705716,0.0377033847804012,0.665116260692567,0.0073906797544504,0.385768148664685,0.0169972658037515,0.731097027025109,0.0080485788905716
ARMC7,0.0169555264729181,0.0217436094475425,0.0397337370448221,0.317238498385973,0.0083051694628201,0.0029030301101977,0.0003480040852686,0.0568276225750643
SPSB2,0.0169555264729181,0.114286290946054,0.375949377875841,0.386378171059065,0.106248006447679,0.0464285603993805,0.742498363243613,0.259696165565771
RBM18,0.0169914562895899,0.0685954307957483,0.0014076691429089,0.0114728072970796,0.062527112788295,0.0102456397352886,0.0415933451740823,0.0124433546383715
NAAA,0.0170309865045657,0.472789158511769,0.662495450196368,0.907154889382305,0.0070043493578767,0.0923274697328371,0.128396218057694,0.0173257782064728
ALMS1,0.0170309865045657,0.0298138871282437,0.486912569522193,0.4001726330959,0.0002096844655249,0.082425061212769,0.0209189604234345,0.0153920739607023
JMJD6,0.0170462220329043,2.62900668107607e-06,0.0008950766329287,1.74551752057922e-06,0.382954010922365,0.0280144537063344,0.0125172723675417,0.209353125519019
WSB2,0.0170874318297218,0.445518870907149,0.279286631928641,0.0037666801284549,9.85044642203606e-06,0.100490648177488,0.0666338905121266,0.108423522102395
ALG1L2,0.0172483459088459,0.0237386025048875,0.0151259645435067,0.0081959902523003,0.147913871407628,0.0002768710235268,0.0103458586484569,0.0273425974367742
CCNYL1,0.0172518093605806,0.0068687536945019,5.99477244764638e-06,6.36782737736637e-07,0.0010633003263343,0.0211136126762611,0.0069965872342906,0.104276894407118
CPM,0.0173250885480882,0.0079325345161034,0.348732467368139,0.573656127293138,1.23712372888588e-07,0.0695109357245349,0.0008316090867318,0.0810613713829482
ZNF343,0.0173738529104808,0.17647230254402,0.0234017430800905,0.0038300334382521,0.000136867470147,0.0784475542098132,0.165714502829277,0.0372694847381098
LOC124904610,0.0174242760373165,0.0002977501267005,0.0834461698442543,3.4818260680808e-06,2.24965794030245e-06,0.0003083917984229,3.93164033284475e-05,0.0665843162367133
RHOQ,0.0174541625370129,0.309085883950631,0.226643228462137,2.79744796030401e-05,0.0001610543409285,2.97019066364573e-05,0.0023759737831666,0.0129165468781029
BRF1,0.0174776559747375,0.342968626410258,0.0172933276017441,0.0095806813244809,0.0009156279276317,0.196870692662376,7.18568639998488e-05,0.0019898368149461
CSRNP2,0.0175096069597682,0.30580534135539,0.189010634080223,0.0013978716185681,1.03291120252689e-05,9.31718400008662e-05,0.0759405959648425,0.0133636506171416
LOC124906082,0.0175219617035839,0.0079426305215017,0.114367411245338,0.0015262562159928,0.0063826599846936,8.71768853296024e-05,0.000586922659831,0.0228097419170937
TP53I13,0.0175397305769069,0.352775128045379,0.0098543633423337,0.293839300606883,0.110519470547479,0.0451858538611282,0.636985770659379,0.0730335053835832
PDCD11,0.0175445493183317,0.081554956772309,0.0032722716102579,0.0076896323078056,0.0016644499127028,0.0248623548033062,0.0035297206761172,0.0081131550607509
NBAS,0.0175448404109516,0.391229717460469,0.188746304361981,0.0106736662461276,0.0053417888524687,0.0191064460424619,0.0573516996879535,0.242245893721079
MIR7107,0.0175857093044022,0.296372396470339,0.0055092090038809,0.641163127182674,0.0423288595804655,0.0006935467504413,0.925079988056728,0.731680251398653
DOLK,0.017588538823995,0.139217100417316,0.0157611207420119,0.0509697880224286,0.689233437396818,0.006147165183362,0.0005806085837019,0.15952623126435
NEDD1,0.0176136464451943,0.542666735306431,0.0523749189832863,0.168831414022059,0.0031239725471543,0.0679533587935832,0.0910388848645413,0.242959061464258
MAPK12,0.0176748582432844,0.127696616714481,0.106042405745341,0.23394877528302,0.389300968738743,0.378340342368516,0.174862442196823,0.003819271389998
SPRING1,0.017696492233616,0.230520290597857,0.0022524934170731,2.05709250710081e-12,0.396418769492076,0.0001366800340211,9.82875202583834e-07,0.004434788554707
FHDC1,0.0177066558052309,1.6943595865449102e-09,0.208996546907861,0.000138328081249,0.0002371089055479,2.29062188171592e-07,0.0994099406546984,0.430616813023217
CXXC4,0.0177461475206315,0.0389595405677914,0.0002014736021629,5.12366601035077e-08,0.0755622469077985,0.0009054427468435,0.0537582127068901,0.431047303594013
MSTO1,0.0177461475206315,0.483589118499646,0.033727736179748,0.032757623623716,0.0273059740978847,0.404520671192485,0.0459197601045053,0.408280267673268
PEDS1,0.0178900787462408,0.0047411251398309,0.0376904463179963,0.0037314073723066,0.0205478857346755,0.0709557454041669,0.000677100657223,0.001855814430508
GRASLND,0.0179187564706159,0.732925935243998,0.0028352302965681,0.830189861309588,0.0685526888018393,0.89163020803174,0.264497617714657,0.0824584336385416
P2RY11,0.0179230552466117,0.0050741649212958,2.87063804315476e-05,1.14822716758633e-06,0.0001891386070006,1.58077957179586e-05,9.11273177242879e-05,0.0001749104534483
PIGS,0.0179366435309425,0.446758239165115,0.0005421558070281,0.0184981365028402,0.0467543544101471,0.003069344994004,0.0006685465677474,0.0160494570616161
ISCA1,0.0179838007875171,0.176640427322761,0.565250937939831,0.318715394901761,0.0264739222007854,0.982056043355246,0.303886324424839,0.0989653730235841
RIN2,0.0179838007875171,0.507105770699539,0.0003296786023486,1.16345335409315e-07,0.0351747391336732,9.1807564095722e-06,0.0041279820689705,0.0237745781542785
AHCYL1,0.0180391867280417,0.473897488622582,7.39145565193386e-05,0.0005024561889468,0.0001138332037899,0.156508064496142,5.8253331143057e-05,0.24938886397591
CA2,0.0181902740398891,0.0001134835717148,0.602271983018412,0.278732742903272,0.719548669085359,0.0141973800812607,0.292547157298962,0.123363692075148
PLA2G4B,0.0181902740398891,0.23942702464692,0.212146602690552,0.498526363663288,0.473783281163447,0.21872811046232,0.654951543474847,0.0072969151669567
