,ChenChao_PRO,Dave_PRO,Eric_PRO,Ethan_PRO,Khaondo_PRO,Niyilolawa_PRO,Pedro_PRO,Srivathani_PRO
KIAA0040,4.5220250514424e-55,6.378408210386681e-46,2.84141749990525e-40,1.53627451197251e-36,1.67049290280387e-49,5.01992843259497e-47,1.49732363991396e-33,7.38371119552501e-49
CHROMR,2.1733848625071796e-30,1.2406356668676199e-29,2.51961746967034e-22,1.00999295126373e-28,2.42554871108946e-38,1.39912112709989e-33,4.78977850108471e-26,1.74174373463692e-25
DYNLT1,8.4777414849062e-44,2.5140723437564002e-26,1.9798462853582898e-18,8.4149102818227e-34,2.68142243780259e-50,2.62102071684839e-37,7.34297490172511e-34,7.6935293019823e-29
SP110,4.0593646927615e-74,1.2358983131446002e-75,2.03679589451406e-79,2.8396462663425297e-62,1.92304497597202e-59,8.52573561089604e-64,1.79199323024711e-66,1.12685767094971e-71
EIF2AK2,3.76559152422842e-105,1.36089431971511e-95,3.92800106484826e-123,7.67726657624469e-111,1.1843709296129e-88,4.1488619151511095e-116,4.0483864688327205e-98,1.0392669010294601e-95
LGALS17A,6.021781523758929e-16,4.19386812337348e-12,3.0717197922302e-05,9.83584362291922e-09,1.6455406624999999e-22,1.86798581106089e-07,1.31886192872049e-07,3.72244987507886e-06
ZNFX1,1.5168304213524302e-73,6.46929828906104e-50,1.13682171612749e-40,7.212161415302401e-48,4.764418815854669e-72,2.2407335302694998e-63,5.8898560011711e-48,6.22192910749591e-53
LAG3,1.3000774691511601e-15,1.00825947188621e-08,5.86579622308489e-05,1.92327293804985e-07,3.5728835459659603e-20,9.681302486437582e-15,3.07121823101775e-10,2.4510196978802898e-11
MYD88,5.77277166382534e-16,8.91041938339684e-13,4.4533661998561297e-13,1.1230057463760002e-19,1.5183604367079e-22,1.34056059738488e-14,8.94099142009848e-13,1.2971843634675801e-14
GBP3,1.4134234607670898e-30,7.35332621969237e-20,1.62480961658118e-17,2.14913094476696e-18,7.00859908568942e-31,1.92159015226723e-24,4.9580308773224e-18,5.24461916431711e-17
BCL2L14,7.70117350487723e-65,1.1065116368944699e-40,1.61102383833211e-56,8.26631776051335e-58,2.3787914460798298e-70,3.30687240779138e-63,6.02313278965894e-56,6.22192910749591e-53
