,ChenChao_PRO,Dave_PRO,Eric_PRO,Ethan_PRO,Khaondo_PRO,Niyilolawa_PRO,Pedro_PRO,Srivathani_PRO
IL12RB1,3.19218004678852e-05,8.01000496452114e-05,0.063770774640594,0.0018466805541288,0.0013111781061301,0.0001752618423431,0.0302304690686591,0.384023555272692
OR2A1-AS1,0.510167645489571,0.263463569039346,0.96507128760026,0.989122814639778,0.824403530841588,0.734957465662506,0.97046959154611,0.652407822554125
ZSWIM7,0.126555546084701,0.123487541172734,0.385307382307193,0.0531512588456947,0.0002943240501396,0.0125175765372944,0.0630101350442691,0.130626751543573
LAT,0.63864025596573,0.569242569336138,0.697104745233794,0.660718290750104,0.835367663541893,0.37631811003159,0.515266704309949,0.577749841938423
ZEB2,0.404514715057352,0.712752355200724,0.891589870011568,0.839768601158759,0.267191609213763,0.481253333423285,0.628947188081561,0.855644979435227
ZMYM2,0.413807535663134,0.401399873663161,0.843900095969539,0.782686191264345,0.440764050358175,0.68629303562586,0.54493185170257,0.901747860423931
DTX1,0.234268800705357,0.291779866038972,0.281059823098998,0.197290512741489,0.812526713219127,0.372489999666077,0.719830123371811,0.696773125138794
ARHGEF7,0.981758797328055,0.93966163538631,0.993808037492695,0.950269139424986,0.943371209769628,0.95298726648916,0.904062174871141,0.98831386157783
TWF2,0.0327819372612156,0.0036445153516706,0.155145832459822,0.0113791831626992,0.046368279817809,0.0047406687634058,0.0138023237363373,0.296265865766338
AP1M1,0.001843446558311,2.65782633080408e-05,0.802551197216742,0.0697473766936465,0.0024994488542672,5.16610803719704e-05,0.795450361241704,0.235111193057462
GORASP2,0.102913841158734,0.376549289270735,0.709314262116859,0.332004927488457,0.0017273824849293,0.177916445774537,0.445890349495703,0.725426388538571
TRIM39,0.0034649563554543,0.289554969604391,0.968271008618119,0.0344149076498996,0.103207159002527,0.0024489600595273,0.59158552637015,0.413793494546039
CD80,0.281961658257182,0.617613174996671,0.977056192409954,0.547282736911011,0.282187077639038,0.434909602186561,0.765970909865944,0.75700347823456
ZNF674,0.0054807499726321,0.0882242817814412,0.91270166388153,0.0390775712731036,0.001768739524498,0.034637765059978,0.0620313742909993,0.0021564053593491
NFATC1,0.873387437085684,0.281697073389981,0.843569661573557,0.618713337220001,0.992609723430015,0.789797738005115,0.830582449193472,0.965055150937997
LOC102723733,0.0001106532338089,0.0617386360946838,0.072531991546546,0.144093226743043,0.0003335920415903,0.0011158862263332,0.217358141600513,0.0729139035616571
SUCNR1,0.444741209253516,0.613728186318414,0.910904713014322,0.36030558363817,0.81133520651048,0.906047827307346,0.77983744830872,0.937529096040479
RSL1D1,0.876559346802807,0.0134982182300715,0.912536715662764,0.487857687070438,0.118439007023782,0.471725697641943,0.247436682346408,0.840721382806184
SEC14L1,0.095613168871613,0.0222734642070885,0.180233590665161,0.106908009621164,0.40337482751485,0.0822951070910858,0.444360656910745,0.737729517490673
INTS15,0.926567409980347,0.866086988456118,0.951251583835927,0.815235046712417,0.941797240648714,0.901058298001968,0.926415162908172,0.958333262650486
TXNRD1,0.0311346003207115,0.139188875037902,0.689480196671788,0.0013732870036269,0.019229028576358,8.44668317038943e-06,0.173826324302177,0.219979197283457
C3orf70,0.478959117149147,0.980747361553416,0.944564470920351,0.587329098075594,0.250343141049941,0.310945855131459,0.90109273078684,0.491909820213723
MECR,0.141850611382182,0.436828941041144,0.193741792672612,0.0114256136315363,0.02829532201966,0.0006992554991054,0.0203251022580879,0.0509913210470335
OXLD1,0.258924646980912,0.0143351086917241,0.3765173439515,0.155701372994655,0.974949662531215,0.702934858419532,0.808802929170967,0.382870462848178
MAP3K5-AS2,0.90579542914363,0.297242744234713,0.993808037492695,0.586525427646775,0.19834966739952,0.200235012925761,0.78114782345603,0.646657029566256
RAB2B,0.230191755657907,0.0767296881494271,0.848634518628181,0.85353119315773,0.578622279321814,0.40964374467706,0.799408189910865,0.900808412497483
PKN3,0.761981482917826,0.086556455358232,0.912957906725371,0.569789574701349,0.690673410402076,0.679658193417173,0.513644457555506,0.870122375068051
ZNF778,0.837855610289892,0.785357670924122,0.472719476123528,0.721316591840599,0.357615176703576,0.905882765930602,0.704460395293148,0.880935069046945
CLECL1P,0.0822502690486143,0.376409230575599,0.0907893741754898,0.0207569213584201,0.219747998234093,0.0400470264722986,0.071702075602726,0.312646640000829
DVL3,0.0013354493717701,0.100923152802521,0.223037874604022,0.0886242894535232,0.0006140060616819,0.0024922632652709,0.0817035552109759,0.103818242048676
RNPEPL1,0.008405870397137,0.0010289588552878,0.265313205716123,0.0136720449791882,0.238594157679069,0.0632017819843585,0.289210690193889,0.183615232132737
ATF7IP,0.663261715699063,0.685619434221441,0.953032693045764,0.856053866780753,0.736722179815109,0.831834702309294,0.940793414930432,0.877584953061548
CDS2,0.238202297443781,0.434367752546765,0.735249217859253,0.249269253548926,0.0614660660939409,0.277610492280379,0.549320816546135,0.36690866039746
DNAJC3-DT,0.991961515496091,0.404141626615995,0.980416747357017,0.969237707704134,0.0900352540840914,0.744418557879386,0.626948312439947,0.478868808920812
MED21,0.0678770983980497,0.160077343657734,0.371316807725244,0.0830878075636619,0.151550592958461,0.0621781616278181,0.29709868452515,0.2294111728566
ERLIN2,0.523800963904337,0.234689611985909,0.178795081001595,0.167005843085154,0.0464768052958861,0.139279970283383,0.261408413887751,0.456537800759509
POLR3B,0.900236752746539,0.95630632600581,0.992487367223075,0.998611436022549,0.224347599200322,0.815309355237432,0.877982596371333,0.868403157223987
TBX15,0.859440460600628,0.790409666649902,0.8282725618401,0.948982877354049,0.860266946890695,0.718029761838349,0.840002210474442,0.905194009926969
WDR82,0.0663461297000582,0.113451719663421,0.828671702987203,0.330217461545322,0.0694582826794606,0.14137821684701,0.221466200120405,0.813441868012079
CCDC142,0.48200835759744,0.0284084955664957,0.805231132603056,0.0592524469703174,0.484134308212679,0.292834462879355,0.75005236330138,0.134257335209771
XRCC1,0.265676205500032,0.0225815153239831,0.308005044544621,0.103774473465523,0.0086109677707837,0.0301367459840403,0.294682379273845,0.443818922915405
FOXN3,0.9337004173838,0.851060981721516,0.999512864361057,0.953115592787218,0.896077930337063,0.83873063827144,0.921164096576708,0.90774337891676
HLA-DOB,2.26443371904174e-07,6.56029147994985e-05,0.0004484672893682,0.0003243734680685,1.10629564850647e-05,0.0004421014781089,4.44478075150738e-05,0.0007220267734689
MAPKAPK5,0.994414884973031,0.246556464888279,0.55899056274055,0.765696195488544,0.64891956607994,0.685555528988132,0.355894004908303,0.939587852394628
PGBD1,0.825487327698086,0.941288371689718,0.993579215618247,0.94802437549763,0.991807970238267,0.131892970110856,0.608977952770026,0.961484069448402
B3GLCT,0.538731762538857,0.845969246147115,0.895860591878224,0.844694167852236,0.903893682185503,0.894458501612276,0.860882512684428,0.83011442527686
SLC29A2,0.900412159945193,0.493086372896212,0.906196796131269,0.591563741165225,0.881146396837198,0.419968607306799,0.944766614920879,0.83011442527686
RUSC1-AS1,0.815569522220507,0.192617940801694,0.155703617820173,0.0722936606632753,0.384241810990142,0.783257185910258,0.381677927429677,0.485181240915698
PIEZO1,0.508157034382879,0.0001581892711168,0.112004132067804,0.0346998799911833,0.636918376739459,0.715354403797045,0.594897879467475,0.80597061944416
HOMEZ,0.929048613149868,0.762075206639103,0.917946282767074,0.875212453519321,0.58188249899325,0.862359297664271,0.654464877928727,0.96797765697716
DUSP16,0.0554135017164192,0.080398007282128,0.0891070878657537,0.148175181053862,0.429826191592763,0.0431803896692017,0.485369782349376,0.467563919159636
ATXN1,0.899770296266224,0.806358345728278,0.98099658189607,0.468636297953475,0.871324344836259,0.168227699754309,0.394440660082913,0.506416984976814
GOT1,2.37835610104073e-06,0.001455540743077,0.352735678866903,0.0001317109814205,1.16341890504553e-06,8.15129619685674e-06,0.0027477433180022,0.0159668621062661
TRIM31,0.859062700459325,0.829557343618298,0.815527822476512,0.155112723863814,0.623952918257921,0.91722705571454,0.921718487231323,0.214468436853421
SPRY1,0.568480191181074,0.426977405042498,0.859225429862126,0.28881434288795,0.983022974433407,0.279854365142075,0.954738496299814,0.994319434864946
LOC105376032,0.92107010054688,0.0072465070959352,0.0075140766419909,4.17681462719951e-08,0.0593211981151011,2.47889928037412e-05,0.0003154492246533,0.598190887745764
NUDT4,0.0117306156170737,0.0193389216922149,0.498346915418755,0.0076492377446547,3.21629503804843e-08,0.0005851850583004,0.0053263998221374,0.0264718916524784
ZNF876P,0.814858541551492,0.961438673619466,0.954883387715096,0.958353468228905,0.0006725606170765,0.953899576222799,0.886308092181745,0.560236834121197
ZDHHC7,0.577061419175122,0.998992206759887,0.93590503309633,0.915375348857651,0.968342010387557,0.374252053673814,0.963567482311992,0.927074853013685
HMSD,0.0582451678393906,0.341511102766203,0.899279676056333,0.472538966358367,0.0761519607632619,0.213554304901545,0.517326818153815,0.463228081043982
TMEM87B,0.0376344793975539,0.0041530499294808,0.046599483778258,0.0603276103230499,0.0526949036455926,0.0147712490837765,0.0203793020353028,0.123582026826655
PPM1D,0.0114635610410095,0.168729416112039,0.412532159284895,0.0512861725408444,0.0008279111613373,0.115530025788649,0.0506956507561714,0.412086909476529
GJC1,0.802446923125478,0.498176267086435,0.947146004594501,0.808862488852032,0.444865528456565,0.919365259215201,0.893823630708082,0.991020450743087
SESN2,0.0009152164782338,0.0003971645921006,0.729142677449356,0.181095034383593,0.0022539607617475,0.003331639082581,0.0069864385425321,0.0590454349315147
MEX3B,0.732090617903565,,,,,,,
RELT,0.598339755772514,0.530252860025157,0.912598200662023,0.998067005617953,0.115420649459837,0.552317459833878,0.879186637409082,0.975577765478701
BRD4,0.64703674455351,0.359955700499594,0.826425576324095,0.696275970505632,0.535622768735143,0.837136725586517,0.772657992257803,0.997777524078995
BLOC1S6,0.986786009317594,0.925078486524419,0.830857403493448,0.975045872900935,0.442650837507132,0.985124651547991,0.95451487685151,0.896478089878991
HLA-F-AS1,0.301147908620196,0.810018549174646,0.106410181242772,0.443130731964452,0.144136137015912,0.0870734141258195,0.786140833901117,0.996233354870099
APBB1,0.384416749314867,0.130860925983189,0.734764360743762,0.642102786812723,0.793670598499221,0.346921687756621,0.918447131299953,0.185664212457367
HSD17B1-AS1,0.994482844434,0.702113501578497,0.956968823748949,0.486673298551851,0.311431742561645,0.862206131795883,0.458150039263843,0.536363211837991
DOK1,0.73311437216996,0.0955659166354804,0.26063196250963,0.235480149031005,0.958707860918892,0.146025596404838,0.833293833272778,0.72091182419755
LOC112268016,0.789577388687422,0.235901629265627,0.158858005842776,0.527757354959272,0.798006898729644,0.756393580547337,0.91914830240186,0.906590984620935
CTCF,0.100019182893277,0.0237522694496488,0.841997172022261,0.0492300463400593,0.028715521961564,0.0301459868058431,0.137305385993222,0.56222303996298
NEDD9,0.141469454872618,0.181880152060488,0.63925099672772,0.496240478283213,0.420780535934851,0.707612128877651,0.904971437548417,0.865019539494593
RREB1,0.984778121977405,0.937823609359729,0.964309203312194,0.919930677053398,0.797786642452574,0.871899603962632,0.971921837491863,0.991020450743087
SAMD3,0.0057175076306917,0.0002473799207972,0.98099658189607,0.472491739324852,0.0116154126418663,0.0022103238332841,0.0107200878372553,0.423122353835781
JRK,0.777578286579796,0.953293514078358,0.995274789066846,0.954426631286111,0.746740211108947,0.993585072816668,0.976204463090556,0.977229282066359
MANEAL,0.729227159918144,0.549741849414762,0.99614394343753,0.830102763851657,0.257611396771831,0.338044970819084,0.925509882100548,0.56803600419936
ZNF607,0.0310119676440149,0.986269584267037,0.820226012256886,0.277737414570075,0.0538505489907364,0.76375175043504,0.743278285065288,0.95533413364094
LINC01089,0.0425655806040182,0.0005561440093275,0.255044145214084,0.115638665606659,0.218977809921251,0.0040115069424931,0.0675846740213793,0.419581775810175
LOC729732,0.418846587756441,0.747715634187134,0.99614394343753,0.845296880626059,0.0637500057043671,0.585878621086822,0.80261491229185,0.991020450743087
MAP4K2,7.83432494889124e-05,1.67834561829283e-07,0.0014984362012977,4.27837250743596e-08,6.82676299424099e-06,6.34150011648193e-05,0.0938501205946192,0.0038299857711618
ZFYVE9,0.954692319580734,0.974637109095533,0.993808037492695,0.956595096229091,0.993397663794536,0.991788999506857,0.991633995996429,0.998706639317841
POLG2,0.986726783361861,0.812614541885917,0.916814468397424,0.636632176424464,0.501241628225705,0.332044935618212,0.692824243191249,0.943015955426392
MRPL36,0.157952078925743,0.0301439178731418,0.349561583139168,0.21851182773685,0.0823910403261001,0.593775139090346,0.472490789483471,0.406328845374425
MOSPD2,0.580135998561169,0.576866302587322,0.698474943061507,0.752466957976712,0.927808881318879,0.306931002247737,0.772657992257803,0.6275335988768
TRIM47,0.98613668296449,0.967516424099676,0.99117281304444,0.952474539901081,0.921121378357044,0.559833742693057,0.878187071596134,0.930995681036417
FUT7,,,,,,,,
GLRX5,0.105410813188767,0.0024141954858419,0.0464830393104537,0.026091488455614,0.0004295966069202,0.0473357213573421,0.0258069231399145,0.219000116864673
MIR4432HG,0.0085880885523469,0.438490774847042,0.155490993258685,0.460773405103531,0.190655937768016,0.270201737195468,0.396356020594213,0.118849093028739
ZDHHC14,0.239091329553203,0.686391535446627,0.760216719402651,0.623313388430658,0.654811994394014,0.215833523636625,0.499405312711032,0.515718338888942
LOC101927571,0.48200835759744,0.966316043914839,0.983906503538211,0.642762761072322,0.830392370362814,0.66643345798952,0.801293719906629,0.75150263577564
LOC124903917,0.491543780934793,0.929991403502413,0.722374432530702,0.761269161699949,0.406520802226595,0.863049579196538,0.991796696295209,0.604340494982497
XRN2,0.0001843897958931,0.0001129130025489,0.0989202213713926,0.0418669581605147,0.0077399411286187,7.68961205514156e-05,0.0280755066148331,0.108539967734989
DMTF1,0.491865028437118,0.598765317201024,0.98328146865789,0.888012556705123,0.779971862223419,0.909789346496322,0.98558633801754,0.956489517096513
NISCH,0.802949900910309,0.0711050036945237,0.98099658189607,0.54156710738246,0.87491440819278,0.424465373527431,0.765170789486191,0.751732155379475
ZNF131,0.425369183068411,0.368993907994942,0.91270166388153,0.666090880913718,0.190635493811455,0.219076822642735,0.933451187482754,0.943388228799267
PLXNA3,5.74064853210773e-07,0.0004718362453385,0.0369654913618861,0.0182827115547071,8.54451653696122e-06,0.0001416169839416,0.0390947685786901,0.154598813521776
CRYM-AS1,5.22141120579957e-06,1.44414165302826e-07,0.0236726229340716,0.0002144364546674,2.07610008747648e-12,1.23140857808001e-06,1.08944470897325e-07,0.000572013473928
EDNRB,0.983376489221971,0.983008417934055,0.994551318009134,0.429705793805652,0.433867949147405,0.790101373022335,0.852657131610379,0.34829965494307
CNPPD1,0.298117757904825,0.0871013930499922,0.98099658189607,0.701367732527812,0.575559586331573,0.251001540846508,0.182988062082243,0.319656863695645
TNFRSF12A,0.82414384237188,0.644359775739202,,,0.255763567009981,0.882081927212562,0.884199728250866,0.675288928988036
ZKSCAN1,0.95042324872242,0.627756740984293,0.849501348860409,0.860075206184515,0.817549450561399,0.869056494258159,0.798761803529869,0.986941683361231
ELK1,0.187211883258958,0.225634562810443,0.24550441729718,0.0157734736159863,0.922042489290815,0.005089134635898,0.0190325721123642,0.620823905565138
TMED2-DT,0.999973081002224,0.851267917209552,0.713378782060016,0.228195817053742,0.539241449678445,0.897220244687726,0.790830163216023,0.903893759775922
CYB561A3,0.681397587296055,0.412776584916383,0.824610213284871,0.14334237134105,0.429099669917657,0.128333073747127,0.184792861734107,0.868586797389744
NFKBIZ,1.66522635227189e-06,0.0022760739026991,0.0099155324344031,0.0001802328896354,1.32202310436433e-07,0.0001650737436282,0.0035805621335232,0.151457313457352
IER3,0.361502631903701,0.500408389197294,0.872648677575816,0.77726565172026,0.285866828271688,0.263946702372366,0.868200899123048,0.179213501485943
DEPDC7,0.504277488546813,0.816406973900521,0.996176227730944,0.807256368023673,0.0689490642354457,0.835117582319176,0.970178029238584,0.868945579389421
PTPRK,0.819580794797535,0.695250570950641,0.84913704175187,0.701089020395499,0.970115000921055,0.609397310036275,0.883220547958751,0.963208733040642
MBD4,0.0012060771153276,0.583427662743469,0.887456599921058,0.295954843583479,2.23965660587722e-06,0.0017025002835538,0.0392931593182053,0.248686220300042
TKT,0.011858708292396,0.0010831249100071,0.169782802041367,0.037222512955355,0.120996272242908,0.0575177632551749,0.157337711249445,0.226615831327818
ABHD16A,0.92350735278269,0.806152410495729,0.84487003437852,0.53146835387963,0.427309877712323,0.275864840600282,0.7728622764057,0.849176147016376
ITGB2-AS1,0.0065698968733466,0.103782581707364,0.161995216854913,0.0714390544249526,0.0051902928284207,0.022059021873147,0.131875172242226,0.190630284366715
TRIM6,0.697429386391391,0.864889773517043,0.403901851063674,0.261080415163765,0.256209493445946,0.729482530162485,0.544575030561962,0.622803647341894
ADRM1,0.0853519266404721,0.0908694251863782,0.820226012256886,0.400763076234526,0.646744487866373,0.306526338768641,0.838853136792262,0.587760963889697
RGMB,0.856233455181762,0.453360413994813,0.875684518495315,0.772600654915107,0.993201878519437,0.970276985067702,0.897934053188462,0.895635987896348
ZSCAN22,0.719975526353903,0.630194240107227,0.466284518090245,0.257129774384881,0.37504107146443,0.191282678285514,0.613068308838324,0.619005849103189
DCPS,0.0328592274803267,0.728950809903982,0.87735015325606,0.390933571222199,0.0035362590779014,0.0630234261474799,0.45696868919686,0.210233212435616
CASTOR3P,0.0139789375893282,0.830967317614858,0.513035261205723,0.0296585138428222,0.000323127634349,0.450776793926298,0.0093817631112385,0.361870250517257
CCDC93,0.889746933426047,0.967704565000696,0.977771920808686,0.978010309933595,0.940851593768418,0.952963700000474,0.965701621753562,0.96629779010437
POU3F1,0.667772344193857,0.618740828775021,0.976362677033806,0.984917478923545,0.929575256411206,0.887500261040775,0.92956078289694,0.953364088481507
PYCR1,0.139809916602445,0.11827261290341,0.455696661849815,0.100134258957701,0.184406384127325,0.0201673778422642,0.314203657052855,0.646657029566256
FAM110B,0.712370267213101,0.979671033668382,0.953692418005454,0.61360054197038,0.474442987909743,0.408349801934081,0.959409786288019,0.821554057532142
EPHB2,0.58783250977021,0.923497760983529,0.997086942496876,0.758059418074889,0.0361744912455642,0.937090474481933,0.807367397258094,0.880687970638482
SLC25A25,3.03716844070536e-07,3.39656217729561e-05,0.0051331231882176,1.40077579285262e-05,4.23135424198152e-08,1.71777721261234e-06,8.32910495855048e-07,0.0008943883027639
STK24-AS1,0.261011112475696,0.280571737556125,0.977056192409954,0.351134992612843,0.0039371269133818,0.63518887200429,0.519369731143456,0.895480126475121
SRP19,0.413501189034546,0.699711253799388,0.603854580592263,0.327278377911622,0.457043618862384,0.490127018001681,0.335528639015704,0.39165181950628
CCT6P1,0.659473065826536,0.351958639837025,0.963896688786604,0.910177804952306,0.624901249421112,0.46698909611362,0.981855702320498,0.688634737458585
SPIN3,0.547178891187001,0.377420440946615,0.993579215618247,0.726593348262344,0.23803458449212,0.87732329881694,0.45696868919686,0.477312147405553
MIEF2,0.586087147169291,0.0212227370597287,0.771930986062907,0.516738645139524,0.569445627139456,0.13606022032128,0.373821759590458,0.702908295325347
USP13,0.764370691441698,0.657205847331691,0.903565756181642,0.961915210725853,0.909813541937862,0.894566649285529,0.883469519473276,0.872176420849965
LOC105377000,0.511988097244528,0.812709476200115,0.786933206073715,0.28176463194356,0.282974743420735,0.284024471306216,0.364481070315464,0.0583924936925775
LARP7,0.0091296599459403,0.258532604113432,0.900479825413642,0.260824137123654,0.49762549707493,0.342943397556739,0.582114580240199,0.222919282147303
PAGR1,0.202056365571014,0.836140326927984,0.731670328174872,0.840459794577218,0.0575434393811104,0.703824050500537,0.795450361241704,0.456323964755968
CARHSP1,0.301680105075312,0.104185790317105,0.475750278659376,0.156053922237931,0.236982974744642,0.350054347975525,0.894186502045581,0.617987938410098
LMO3,0.937056622156499,0.901750428639278,0.985630134127702,0.957795618171115,0.989366584230843,0.982836946618067,0.991796696295209,0.942245264097583
RAB11FIP1,0.226018765227072,0.904408141540317,0.408032491883853,0.489326152443778,0.0891405609849324,0.217055383208052,0.333334628618879,0.792166603745601
PANK4,0.424980902144074,0.0279222678286468,0.820226012256886,0.672689445493157,0.989063192620421,0.741785181229336,0.689064946040358,0.802838393206902
TIRAP,0.302834269929513,0.227176979897907,0.627913842458009,0.71686146799425,0.827383261544999,0.444314198966411,0.427622994333975,0.579757540147102
PIP4K2A,0.941751091728638,0.995912258427721,0.993808037492695,0.7932579386248,0.941797240648714,0.88501929946775,0.966140574334893,0.996530694406933
ZNF737,0.995033989960924,0.95411053196681,0.975622655236819,0.985800286728782,0.611867058722717,0.991947134814247,0.906067621311087,0.760593658096042
PHF10,0.0602434302118119,0.539675873007305,0.270349424355836,0.0714340058126934,0.0073094958884359,0.334221464764377,0.303188878060998,0.826960528228892
FAM78B,0.371594174283002,0.499522179733254,0.0223910026400274,0.184906933878069,0.0234661413166098,0.361493356122085,0.115594536935775,0.807863343437352
TBC1D7,0.180004701423175,0.339203524945328,0.790584765921863,0.0052456031079989,0.0014251389240518,0.0756726020413162,0.0094532917355399,0.374352642064902
DNASE2,0.205108791451963,0.560274142436949,0.895860591878224,0.679660685172379,0.490317840203143,0.0130217887292464,0.765293812187777,0.19302987349612
RDH12,0.0279591930812117,,,,,,,
SNUPN,0.0508371099378069,0.125261880883841,0.835793057698844,0.369524209449591,0.277091754377866,0.25006370005771,0.799537919725207,0.966164532744645
SNX12,0.118254439578188,0.359347524565029,0.616868483937911,0.763762846737895,0.160117981044072,0.62705768317545,0.326887934481013,0.510335634666738
L3MBTL4,0.660111358960906,0.624851000979175,0.891412459509697,0.58603916490994,0.64980743346388,0.89638275690313,0.77107557994405,0.99300444347856
JMY,0.660916971595389,0.892771210438215,0.971987562441338,0.978310389123552,0.0772365163184339,0.668984484061254,0.589577673642629,0.998706639317841
CCZ1,2.65804756930387e-10,4.96678953435e-10,0.0002754675450889,2.98653720294529e-08,5.2059907009711194e-11,6.404087563099961e-15,7.53261599376883e-07,2.12436438064689e-05
LINC01515,0.755590442323816,0.259549287664863,0.455862843766859,0.706885839657284,0.997047809979621,0.797193542264585,0.543774921429793,0.958476995294393
PPP1R16B,0.0084465698394805,0.573413502981639,0.930161992063328,0.855647602580882,2.1497055623996e-07,0.0337867572419862,0.0022995307193611,0.0666987131544019
AGO1,0.235366389872748,0.602652394111761,0.862970379828112,0.541345582039702,0.604928421093892,0.305458046839365,0.8709503762189,0.903546219279626
DBR1,0.17377439938822,0.872324316216262,0.635327592299052,0.384826264703332,0.320302789374639,0.0100652909773625,0.862898607258022,0.350478249889121
BMS1P4,0.355647009999287,0.027150431052214,0.340772424004257,0.199048786886512,0.682756370710881,0.0067373243686036,0.791575895969571,0.65935799300642
ANXA8,0.0778770718738259,0.888479783112543,0.366643765487147,0.026495324632489,0.0351876663521234,0.0018762596634843,0.454706766792097,0.0452334348093069
ARMC3,0.851478644034231,0.943772871600847,0.756711228067807,0.0524670541098744,0.680374306403696,0.951573207605834,0.308685846772491,0.93900134876537
ZNF30,0.466008886702265,0.726633136441628,0.833801254423834,0.9628733607873,0.30750442577938,0.499025552673311,0.905198555001958,0.589824907674532
ADARB1,0.402760752280176,0.917150347620616,0.843128302034335,0.391788097601374,0.800515012209138,0.781590108386835,0.714453907875922,0.808399125008942
LIMD2,0.0333467225544009,3.04736045906603e-05,0.237131665484075,0.0132272953789059,0.139160931447658,0.0108047979593082,0.0432813236320288,0.214329353427158
UBTD2,0.793695259037979,0.165517883742328,0.344098580871671,0.0494112902534611,0.295596384594006,0.57170836511306,0.671429309919515,0.719421945107397
UACA,1.84726482817333e-05,0.305347269335896,0.975622655236819,0.677837854645752,0.693873561755484,0.998017867565387,0.635722049159247,0.38239135484397
C1orf56,0.541070051443016,0.52623615967945,0.817540801797615,0.699108314412595,0.0205890108345962,0.0765063202064477,0.607138580414809,0.499735629575856
BORCS5,0.671218917845187,0.232539374994397,0.887456599921058,0.48687816265652,0.395187954620548,0.326244741247214,0.740551380339293,0.754334527340426
LOC105373378,0.157718573793931,0.210188591897613,0.23679123807771,0.413188681308684,0.589100461586484,0.480909434850672,0.992148265178517,0.999395970939898
FAR2,0.89264215959782,0.84416240886986,0.966845197242596,0.953959628934977,0.77438253073179,0.906076880149272,0.94863174332156,0.952020963168642
G3BP1,0.354602274120934,0.137196986753004,0.749417893782033,0.301004908997366,0.0095410170712237,0.453099934963632,0.455207251703833,0.747057440064194
SAMSN1,0.911540565042219,0.382508508417304,0.798790559889508,0.618249315842454,0.878314199523237,0.741162124768074,0.856877187298311,0.991020450743087
HILPDA,0.626768932275825,0.616204221927796,0.703737586410622,0.817557793509049,0.964680113046769,0.961296172343976,0.602507807177597,0.985350580316807
NDST2-ZSWIM8-AS1,0.0039537978100847,0.691703781892717,0.184681529485406,0.0025235867556118,6.86131005555426e-05,0.0003919579606542,0.0023637351117231,0.134386685986103
LOC124900384,0.930191641239566,0.6592470834672,,,0.581190633677606,0.439282951363115,0.0816529131787984,0.959505301556826
ACOT1,0.301779049052069,0.241916053715899,0.159576293066104,0.0008441095103045,0.360492162278817,0.360499706743612,0.0146346967220755,0.622443614431675
MARCHF3,0.344227011041235,0.33896167722375,0.413053208431101,0.696528494418765,0.234638762324974,0.0962998402598081,0.282896295124185,0.600057094243749
SURF4,0.0567014742743363,0.0165135536057231,0.375992348844102,0.243520467414869,0.332258609228424,0.0552357037352226,0.235865165931592,0.572595814773606
LRRC3C,0.0185431149308276,0.0409148322366884,0.229942303418894,0.107872444000717,0.479865246104578,0.703879958212507,0.987298765946757,0.570133941836089
CKB,0.285062466218398,0.416129872120142,0.915626494579136,0.0046690076632343,0.17974580947232,0.98645749686948,0.0194186975429033,0.985350580316807
ASH1L-AS1,0.363712214583626,0.795398042151224,0.925905838694881,0.752154036227411,0.274752827565117,0.711874893726456,0.336910768228581,0.929022120530937
ZBTB41,0.56330065482246,0.89969522885229,0.749417893782033,0.224983168266257,0.211918533506612,0.0799896386778444,0.462610573262602,0.392280803853835
LOC124904486,0.493378348764446,0.193295593459209,0.223749559529412,0.0067696323414015,0.899990681391464,0.130266766635579,0.808878061253398,0.833377517154527
CCRL2,0.951205981250154,0.911125254566856,,,0.136627028194704,0.411409172194868,0.598087917237752,0.985350580316807
BCL6,3.50032789136591e-06,0.0001146058008905,0.290727373681642,0.227358743088134,5.54104493400036e-05,2.52976843409135e-06,0.0022850923577798,0.0337344899682468
LINC02397,0.0622995823275015,0.0138275537757167,1.02703054387471e-05,0.0084795534722616,0.389499946368884,0.0029391897933389,0.0215582912253141,0.123582026826655
TSG101,0.868562981644784,0.423971039280077,0.963896688786604,0.869040554623615,0.949230157231905,0.598980723812697,0.932781151468963,0.656249096048923
TMEM219,0.388296629849421,0.187428850064259,0.393782866914642,0.136349542310892,0.240506669511122,0.746049834989942,0.321742462734942,0.646657029566256
BSCL2,0.565344470566576,0.639775924717508,0.624851300652497,0.115022881153865,0.232972313324637,0.769011701955826,0.792130415589026,0.796045239605974
CKAP2L,0.341420107895206,0.216299945620531,0.570737154821961,0.002431919216983,2.22352174987609e-06,0.185518770824997,0.0277699973398024,0.0499801705769402
KMT2A,0.616750481584932,0.466110093116451,0.914953075564134,0.573762265062117,0.300746182954653,0.458499469653059,0.748655450488541,0.862908495645182
RNF113A,0.0797268246656312,0.833313493575126,0.289444786981757,0.576342570311819,0.0225342502087637,0.0681860962368352,0.17345673968152,0.236724119645409
SARM1,0.741719634053471,0.669658044655911,0.993579215618247,0.993603764699585,0.442094951756785,0.698861590618742,0.955923766100681,0.98831386157783
ZNF8-ERVK3-1,0.770702992475969,0.57514327661387,0.378979864729812,0.0048538273224888,0.0024991927653337,0.953575293407393,0.863844125738112,0.594295620608773
RAD23B,0.0009941193372348,0.101835959095991,0.675867784083644,0.347706300272038,0.0015710579256743,0.263093709513103,0.448400975972414,0.722112973796862
